aX,aY,aZ,gX,gY,gZ
-0.202,0.303,-0.042,4.333,-23.071,5.859
-0.209,0.320,-0.030,5.920,-22.034,7.385
-0.221,0.354,-0.029,6.714,-25.757,7.507
-0.251,0.431,-0.032,1.953,-29.663,8.240
-0.245,0.497,-0.004,-6.348,-28.137,8.728
-0.217,0.547,0.056,-13.062,-23.071,6.531
-0.205,0.591,0.140,-17.212,-19.958,4.089
-0.217,0.634,0.220,-17.151,-19.409,1.648
-0.247,0.659,0.273,-14.587,-20.203,0.916
-0.298,0.686,0.313,-11.536,-20.325,2.869
-0.329,0.731,0.344,-7.935,-19.409,8.118
-0.339,0.821,0.344,-6.836,-18.799,13.489
-0.334,0.954,0.325,-11.780,-18.799,14.526
-0.338,1.058,0.317,-21.179,-18.860,8.667
-0.356,1.109,0.329,-31.311,-15.381,0.793
-0.366,1.112,0.346,-35.217,-7.507,-3.662
-0.378,1.112,0.369,-30.151,2.380,-2.747
-0.401,1.118,0.371,-17.334,9.949,2.625
-0.419,1.091,0.367,-1.282,13.123,8.667
-0.421,1.016,0.374,14.160,12.329,10.681
-0.418,0.962,0.388,28.503,9.277,11.047
-0.392,0.934,0.381,38.147,6.714,10.925
-0.355,0.912,0.369,41.565,4.211,8.850
-0.313,0.888,0.344,38.513,1.343,5.615
-0.282,0.862,0.314,30.579,-2.258,2.258
-0.265,0.843,0.297,21.912,-6.042,0.244
-0.260,0.827,0.284,16.052,-8.728,-0.061
-0.271,0.794,0.284,13.428,-9.705,0.305
-0.287,0.757,0.288,12.939,-10.010,0.427
-0.535,1.592,1.607,38.696,84.229,-8.240
-0.517,2.097,1.824,80.444,112.305,4.639
-0.531,2.492,1.505,122.131,110.168,2.258
-0.492,2.712,0.864,133.850,93.384,-11.292
-0.442,2.808,0.426,121.704,68.298,-20.874
-0.629,2.692,0.307,105.957,39.185,-10.864
-0.780,2.390,0.556,87.769,21.667,5.188
-0.870,2.189,0.885,64.758,22.400,3.845
-1.000,2.193,1.210,52.979,18.433,0.427
-1.053,2.505,1.493,31.128,1.892,4.395
-1.141,2.941,1.600,-7.996,-27.405,2.075
-1.146,3.151,1.513,-44.312,-60.059,-1.526
-1.130,3.079,1.555,-70.862,-81.238,-6.287
-0.957,3.157,1.199,-82.336,-84.595,-13.428
-0.590,2.753,0.771,-52.063,-80.261,-32.349
-0.280,2.105,0.576,-17.029,-65.674,-45.471
-0.169,1.685,0.340,8.240,-41.443,-35.828
-0.151,1.276,0.064,33.386,-12.878,-20.264
-0.153,0.773,-0.043,46.326,10.437,-6.348
-0.187,0.329,-0.147,44.556,19.470,7.019
-0.187,-0.034,-0.325,45.532,13.428,20.447
-0.131,-0.301,-0.473,52.856,2.319,32.898
-0.058,-0.530,-0.580,65.002,-5.310,44.189
0.007,-0.658,-0.678,71.289,-8.362,54.382
0.105,-0.651,-0.821,62.561,-6.714,56.091
0.135,-0.451,-0.917,39.063,-4.517,45.227
0.083,-0.175,-0.886,10.010,-5.066,25.146
0.048,0.001,-0.782,-20.813,-8.057,7.690
-0.054,0.131,-0.616,-44.067,-11.597,-2.930
-0.172,0.226,-0.467,-56.335,-14.465,-9.521
-0.239,0.275,-0.343,-56.030,-16.174,-12.695
-0.245,0.312,-0.218,-53.589,-20.874,-14.221
-0.280,0.417,-0.045,-57.861,-26.245,-13.916
-0.221,0.370,0.085,-53.406,-26.550,-8.057
-0.108,0.267,0.180,-45.044,-22.705,-5.737
-0.078,0.176,0.314,-32.715,-16.724,-3.357
-0.030,0.136,0.266,-11.230,-4.517,2.075
-0.009,0.083,0.302,9.949,12.695,11.597
0.032,-0.013,0.282,31.433,21.240,19.409
0.086,-0.138,0.241,49.133,25.024,25.085
0.082,-0.192,0.196,59.265,24.109,29.846
0.024,-0.187,0.131,61.462,23.193,34.119
-0.009,-0.136,0.103,54.932,26.062,37.720
-0.017,-0.093,0.073,46.753,25.879,36.438
-0.019,-0.052,0.060,39.795,19.043,31.067
-0.001,-0.031,0.041,35.339,11.658,24.841
0.046,-0.025,0.027,32.227,7.141,17.944
0.080,-0.029,0.014,28.992,5.188,11.597
0.101,-0.030,0.002,26.245,5.188,6.714
