aX,aY,aZ,gX,gY,gZ
-0.098,0.441,-0.144,87.280,-190.796,-28.015
-0.032,0.499,0.036,102.661,-199.524,-22.705
0.087,0.630,0.164,110.657,-201.111,-13.184
0.126,0.888,0.087,113.647,-186.279,-4.822
0.074,1.183,-0.196,106.567,-158.264,-5.737
-0.086,1.196,-0.590,74.524,-131.042,-17.151
-0.174,1.028,-0.849,-12.207,-126.953,-18.616
-0.294,1.173,-0.781,-94.360,-153.137,7.507
-0.334,1.332,-0.249,-170.227,-194.702,38.574
-0.201,1.521,0.418,-230.286,-209.961,61.096
0.027,1.778,0.497,-251.526,-171.997,74.951
0.118,1.905,-0.013,-249.268,-114.014,72.327
0.087,1.972,-0.480,-232.849,-85.693,64.880
-0.011,1.955,-0.695,-181.763,-95.886,57.922
-0.045,1.835,-0.555,-95.825,-126.831,46.387
-0.087,1.557,-0.164,1.465,-159.119,26.489
-0.113,1.246,0.185,69.153,-172.363,7.812
-0.129,1.183,0.256,87.402,-160.217,4.700
-0.159,1.100,0.199,84.351,-143.250,2.808
-0.151,0.995,0.141,72.510,-132.141,-1.587
-0.106,0.948,0.080,48.035,-126.038,-1.953
-0.047,0.924,0.043,20.325,-123.718,0.610
-0.014,0.917,0.005,-2.625,-122.192,3.845
-0.005,0.933,-0.056,-17.456,-118.835,8.667
-0.018,0.908,-0.105,-22.461,-115.356,12.939
-0.036,0.875,-0.156,-23.010,-111.206,17.517
-0.037,0.869,-0.177,-24.475,-106.934,23.315
-0.036,0.849,-0.205,-24.536,-100.342,28.198
-0.015,0.826,-0.250,-23.499,-92.346,32.654
0.043,0.843,-0.321,-23.315,-85.510,37.231
0.033,0.884,-0.432,-23.071,-81.116,40.039
0.064,0.874,-0.433,-19.897,-85.205,39.124
0.082,0.924,-0.404,-19.836,-91.248,38.025
0.047,0.906,-0.342,-23.865,-96.802,35.767
0.128,0.901,-0.263,-32.532,-102.112,34.851
0.212,0.963,-0.227,-44.800,-104.431,34.668
